Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Alta Ski Resort,An alpine ski resort in the Wasatch Mountains.,40.58982482,-111.635019,https://alta.com,http://www.powderhounds.com/site/DefaultSite/filesystem/images/USA/Alta/Overview/01.jpg
Mount Desert Island,An island off the coast of Maine home to Acadia National Park and many research labs.,44.33145889,-68.23725536,https://acadiamagic.com/MountDesert.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsteILqDJRYO-DYUEslnpsaQxY4uJbBHwtmw&usqp=CAU
